"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"HoogRisicoOpAngstOfDepressie_25"
"217439";"53115";"MW00000";"BU01411605";"2022JJ00";"24.7"
"217443";"53115";"MW00000";"WK014117  ";"2022JJ00";"9.7"
"217447";"53115";"MW00000";"BU01411700";"2022JJ00";"11"
"217451";"53115";"MW00000";"BU01411701";"2022JJ00";"11.7"
"217455";"53115";"MW00000";"BU01411702";"2022JJ00";"8.8"
"217459";"53115";"MW00000";"BU01411703";"2022JJ00";"8.3"
"217463";"53115";"MW00000";"BU01411709";"2022JJ00";"5.6"
"217467";"53115";"MW00000";"WK014118  ";"2022JJ00";"12.4"
"217471";"53115";"MW00000";"BU01411800";"2022JJ00";"10.2"
"217475";"53115";"MW00000";"BU01411801";"2022JJ00";"20.9"
"217479";"53115";"MW00000";"BU01411802";"2022JJ00";"12.3"
"217483";"53115";"MW00000";"BU01411803";"2022JJ00";"14.1"
"217487";"53115";"MW00000";"BU01411804";"2022JJ00";"7.9"
"217491";"53115";"MW00000";"BU01411805";"2022JJ00";"10.2"
"217495";"53115";"MW00000";"BU01411806";"2022JJ00";"12"
"217499";"53115";"MW00000";"WK014119  ";"2022JJ00";"10"
"217503";"53115";"MW00000";"BU01411900";"2022JJ00";"5.7"
"217507";"53115";"MW00000";"BU01411901";"2022JJ00";"13.3"
"217511";"53115";"MW00000";"BU01411902";"2022JJ00";"15"
"217515";"53115";"MW00000";"BU01411903";"2022JJ00";"14.9"
"217519";"53115";"MW00000";"BU01411904";"2022JJ00";"7.1"
"217523";"53115";"MW00000";"BU01411905";"2022JJ00";"10.5"
"217527";"53115";"MW00000";"BU01411906";"2022JJ00";"7.7"
"217531";"53115";"MW00000";"BU01411907";"2022JJ00";"7"
"217535";"53115";"MW00000";"BU01411908";"2022JJ00";"7"
"217539";"53115";"MW00000";"BU01411909";"2022JJ00";"8.1"
"217543";"53115";"MW00000";"BU01411910";"2022JJ00";
"217547";"53115";"MW00000";"BU01411920";"2022JJ00";"7"
"217551";"53115";"MW00000";"WK014120  ";"2022JJ00";"7.8"
"217555";"53115";"MW00000";"BU01412000";"2022JJ00";"6.1"
"217559";"53115";"MW00000";"BU01412001";"2022JJ00";"8.4"
"217563";"53115";"MW00000";"WK014121  ";"2022JJ00";"6.2"
"217567";"53115";"MW00000";"BU01412100";"2022JJ00";"6.6"
"217571";"53115";"MW00000";"BU01412109";"2022JJ00";"5.6"
"217575";"53115";"MW00000";"GM0034    ";"2022JJ00";"12.7"
"217579";"53115";"MW00000";"WK003401  ";"2022JJ00";"18.1"
"217583";"53115";"MW00000";"BU00340101";"2022JJ00";"21.4"
"217587";"53115";"MW00000";"BU00340102";"2022JJ00";"14"
"217591";"53115";"MW00000";"WK003402  ";"2022JJ00";"16.3"
"217595";"53115";"MW00000";"BU00340201";"2022JJ00";"15.2"
"217599";"53115";"MW00000";"BU00340202";"2022JJ00";"10.9"
